"SampleID","BirdID","Isolator","DPI","BodySite","Infection","BodySiteInf","BodyWt_g","SizeStd_BursaWt","Sex","Age_days","ratio_16s","EID50.mL","HI","UT_IFN.a","UT_IFN.b","UT_IFN.g","UT_IFN.l","UT_IL.6","UT_OAS","UT_Mx","UT_LITAF","CT_IFN.g","CT_IFN.l","CT_OAS","CT_Mx","CT_IL4","CT_IL5","CT_IL6","CT_IL10","CT_IL12","CT_LITAF","DateCollected","DateProcessed","DateExtracted","Extractor","NanoDrop","DNA.uL","Buffer.uL","Conc_ng.uL","Copies_16s"
"cCE063","231",2,"14DPC","CEC","Mock","CEC_Mock",701,1.816975749,"M",32,282262.204,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/24/2018","H. Ji",71.8,20,0,71.8,405328525
"cCE064","232",2,"14DPC","CEC","Mock","CEC_Mock",654,1.732874618,"M",32,107951.2461,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/24/2018","H. Ji",70.7,20,0,70.7,152643062
"cCE065","249",3,"14DPC","CEC","CKPA","CEC_CKPA",483,1.2126294,"F",32,2179.932237,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/25/2018","H. Ji",76,20,0,76,3313497
"cCE066","255",3,"14DPC","CEC","CKPA","CEC_CKPA",570,1.501929825,"F",32,163.0492958,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/25/2018","H. Ji",42.6,20,0,42.6,138918
"cCE067","304",3,"14DPC","CEC","CKPA","CEC_CKPA",607,1.225205931,"F",32,247.545,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/25/2018","H. Ji",150.4,13,7,100,495090
"cCE068","299",3,"14DPC","CEC","CKPA","CEC_CKPA",572,1.38986014,"F",32,6559.979245,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/25/2018","H. Ji",26.5,20,0,26.5,3476789
"cCE069","303",3,"14DPC","CEC","CKPA","CEC_CKPA",594,1.515319865,"M",32,149649.807,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/25/2018","H. Ji",128.4,16,4,100,299299614
"cCE070","258",4,"14DPC","CEC","CKPA","CEC_CKPA",698,1.528653295,"F",32,141.841,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/25/2018","H. Ji",199.8,10,10,100,283682
"cCE071","260",4,"14DPC","CEC","CKPA","CEC_CKPA",579,1.297927461,"M",32,28255.306,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/25/2018","H. Ji",106,19,1,100,56510612
"cCE072","262",4,"14DPC","CEC","CKPA","CEC_CKPA",578,1.566955017,"F",32,88371.0035,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/25/2018","H. Ji",146.4,14,6,100,176742007
"cCE073","305",4,"14DPC","CEC","CKPA","CEC_CKPA",554,1.161913357,"M",32,263460.664,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/25/2018","H. Ji",136.4,15,5,100,526921328
"cCE074","306",4,"13DPC","CEC","CKPA","CEC_CKPA",643,1.547122862,"M",32,1955.431,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/25/2018","H. Ji",127.7,16,4,100,3910862
"cCE075","307",4,"14DPC","CEC","CKPA","CEC_CKPA",605,1.141983471,"F",32,993.458,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/25/2018","H. Ji",105.9,19,1,100,1986916
"cCE076","281",5,"14DPC","CEC","TKMN","CEC_TKMN",613,1.733278956,"M",32,707.3945,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","9/27/2018","10/26/2018","H. Ji",141.6,14,6,100,1414789
"cCE077","282",5,"14DPC","CEC","TKMN","CEC_TKMN",524,1.173091603,"F",32,1271.5825,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","9/28/2018","10/26/2018","H. Ji",140.7,14,6,100,2543165
"cCE078","283",5,"14DPC","CEC","TKMN","CEC_TKMN",551,1.279310345,"F",32,240819.9265,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","9/28/2018","10/26/2018","H. Ji",155.7,13,7,100,481639853
"cCE079","284",5,"14DPC","CEC","TKMN","CEC_TKMN",764,1.468717277,"M",32,1135.766219,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","9/28/2018","10/26/2018","H. Ji",89.4,20,0,89.4,2030750
"cCE080","285",5,"14DPC","CEC","TKMN","CEC_TKMN",689,1.608708273,"M",32,2425.874,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","9/28/2018","10/26/2018","H. Ji",200.7,10,10,100,4851748
"cCE081","286",5,"14DPC","CEC","TKMN","CEC_TKMN",490,1.466122449,"M",32,429.375,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","9/28/2018","10/26/2018","H. Ji",285.9,7,13,100,858750
"cCE082","287",5,"14DPC","CEC","TKMN","CEC_TKMN",721,1.910263523,"M",32,13893.5585,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","9/28/2018","10/26/2018","H. Ji",105.9,19,1,100,27787117
"cCE083","288",5,"14DPC","CEC","TKMN","CEC_TKMN",380,0.984736842,"F",32,137853.989,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","9/28/2018","10/26/2018","H. Ji",49.9,20,0,49.9,137578281
"cCE084","289",6,"14DPC","CEC","TKMN","CEC_TKMN",418,0.7284689,"F",32,321794.5715,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","9/28/2018","10/26/2018","H. Ji",118.1,17,3,100,643589143
"cCE085","290",6,"14DPC","CEC","TKMN","CEC_TKMN",587,1.38483816,"F",32,1519.399293,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","9/28/2018","10/26/2018","H. Ji",28.3,20,0,28.3,859980
"cCE086","291",6,"14DPC","CEC","TKMN","CEC_TKMN",410,1.293902439,"F",32,28935.4645,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","9/28/2018","10/26/2018","H. Ji",230.3,9,11,100,57870929
"cCE087","292",6,"14DPC","CEC","TKMN","CEC_TKMN",515,1.09223301,"M",32,21115.35317,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","9/28/2018","10/26/2018","H. Ji",37.8,20,0,37.8,15963207
"cCE088","293",6,"14DPC","CEC","TKMN","CEC_TKMN",708,1.85720339,"M",32,105142.9145,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","9/28/2018","10/26/2018","H. Ji",156.5,13,7,100,210285829
"cCE089","294",6,"14DPC","CEC","TKMN","CEC_TKMN",676,1.653106509,"M",32,259505.6595,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","9/28/2018","10/26/2018","H. Ji",111.1,18,2,100,519011319
"cCE090","295",6,"14DPC","CEC","TKMN","CEC_TKMN",638,1.551253918,"M",32,1847.662983,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","9/28/2018","10/26/2018","H. Ji",90.5,20,0,90.5,3344270
"cCE091","296",6,"14DPC","CEC","TKMN","CEC_TKMN",600,1.070833333,"M",32,3316.5305,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","9/28/2018","10/26/2018","H. Ji",239.1,8,12,100,6633061
"cIL092","201",1,"5DPC","ILE","Mock","ILE_Mock",184,3.17173913,"F",23,0.613,0,NA,1.669027576,0.926415083,1.283393616,0.492030311,0.765461929,0.071870102,-1.771456839,0.303880144,-2.282068856,-2.85304172,-3.088383204,-4.562505048,-3.852982008,-2.795019518,-1.199996548,-1.770410454,-2.645377545,-1.34015186,"3/10/2018","10/2/2018","10/30/2018","H. Ji",104.6,19,1,100,1226
"cIL093","202",1,"5DPC","ILE","Mock","ILE_Mock",150,3.34,"M",23,136146.9775,0,NA,-1.425672424,-1.885984917,-3.626106384,0.682730311,-2.421038071,1.127670102,0.619143161,0.195180144,-1.305668856,-2.79534172,-3.062283204,-2.510705048,-3.561682008,-2.664019518,-1.033796548,-2.387610454,-2.334377545,-0.98435186,"3/10/2018","10/2/2018","10/30/2018","H. Ji",143.1,14,6,100,272293955
"cIL094","203",1,"5DPC","ILE","Mock","ILE_Mock",207,2.423671498,"F",23,4.922222222,0,NA,-0.310772424,-1.072684917,-0.035106384,-0.915969689,0.395761929,1.554270102,-0.293756839,0.974280144,-1.140668856,-0.06404172,-2.215283204,-1.036505048,-2.319682008,-1.528119518,0.433903452,-1.410010454,-1.142777545,0.76214814,"3/10/2018","10/2/2018","10/30/2018","H. Ji",9,20,0,9,886
