SampleID,BarcodeSequence,LinkerPrimerSequence,Age,Age_weeks,Tissue,Flock,Flock2,AgeTissue,AgeTissueFlock,Weight_g,Bird#,NDV,REO,HEV,BA,MG,MM,MS,Description
cC053,,,One,1,CE ,RD2 ,RD2 ,OneCE,OneCE_RD2,152,14,4198,964,2476,4574,Negative,Negative,Negative,C053
cC054,,,One,1,CE ,RD2 ,RD2 ,OneCE,OneCE_RD2,153,15,8310,418,1086,6400,Negative,Negative,Negative,C054
cC055,,,One,1,CE ,RD2 ,RD2 ,OneCE,OneCE_RD2,152,16,2686,246,1966,0,Negative,Inconclusive,Inconclusive,C055
cC056,,,One,1,CE ,RD2 ,RD2 ,OneCE,OneCE_RD2,189,17,5675,594,4002,0,Negative,Negative,Negative,C056
cC057,,,One,1,CE ,RD2 ,RD2 ,OneCE,OneCE_RD2,152,18,4435,630,3008,3073,Negative,Negative,Negative,C057
cC058,,,One,1,CE ,RD2 ,RD2 ,OneCE,OneCE_RD2,124,19,4167,401,1676,0,Negative,Negative,Negative,C058
cC059,,,One,1,CE ,RD2 ,RD2 ,OneCE,OneCE_RD2,138,20,2673,559,3888,6687,Negative,Negative,Negative,C059
cC060,,,One,1,CE ,RD2 ,RD2 ,OneCE,OneCE_RD2,119,21,0,814,3518,8559,Negative,Negative,Negative,C060
cC061,,,One,1,CE ,RD2 ,RD2 ,OneCE,OneCE_RD2,110,22,5423,418,2210,8114,Negative,Negative,Negative,C061
cC062,,,One,1,CE ,RD2 ,RD2 ,OneCE,OneCE_RD2,139,23,5442,1133,5431,6700,Negative,Negative,Negative,C062
cC063,,,Three,3,CE ,RD2 ,RD2 ,ThreeCE,ThreeCE_RD2,802,25,0,148,0,0,Negative,Negative,Negative,C063
cC064,,,Three,3,CE ,RD2 ,RD2 ,ThreeCE,ThreeCE_RD2,789,26,0,229,1563,0,Negative,Negative,Negative,C064
cC065,,,Three,3,CE ,RD2 ,RD2 ,ThreeCE,ThreeCE_RD2,526,27,2394,54,0,0,Negative,Negative,Negative,C065
cC066,,,Three,3,CE ,RD2 ,RD2 ,ThreeCE,ThreeCE_RD2,792,28,0,246,421,366,Negative,Negative,Negative,C066
cC067,,,Three,3,CE ,RD2 ,RD2 ,ThreeCE,ThreeCE_RD2,614,29,0,347,232,443,Negative,Negative,Negative,C067
cC068,,,Three,3,CE ,RD2 ,RD2 ,ThreeCE,ThreeCE_RD2,689,30,0,523,1182,887,Negative,Negative,Negative,C068
